-0.94125, -0.840155, -0.798728, -0.479098, -0.614119, -0.793742, -0.887565, -0.418798, -0.820604, -0.795849, 
-0.481842, -0.508869, -0.756272, -0.528967, -0.663586, -0.384146, -0.312043, -0.616986, -0.373574, -0.13913, 
0.510285, -0.824652, -0.591599, -0.319112, 0.258875, 0.019619, -0.061557, -0.585992, -0.166079, -0.13099, 
-0.846587, -0.759261, -0.766785, -0.588754, -0.142913, -0.849585, -0.912548, -0.804465, -0.27623, -0.662794, 
-0.080189, -0.869927, -0.671218, -0.673039, -0.896388, -0.45296, -0.828815, -0.98556, -0.721278, -0.745651, 
-0.694596, -0.726079, -0.640119, 0.096024, -0.848943, -0.077809, -0.880149, -0.669992, 0.148195, -0.394649, 
-0.716163, 0.055388, -0.00898, -0.638843, -0.543596, -0.523605, -0.226917, -0.576801, -0.354717, -0.380211, 
-0.833104, -0.68819, -0.260596, -0.814767, -0.856404, -0.482422, -0.744546, -0.008754, -0.257237, -0.455846, 
-0.830468, -0.638403, -0.705619, -0.731992, -0.696109, -0.877859, -0.376818, -0.349618, -0.345314, -0.746884, 
-0.440419, -0.591067, -0.17885, 0.197109, -0.275949, -0.173743, -0.274119, -0.322004, -0.056926, -0.289679, 
