-0.782008, -0.794586, -0.763674, -0.183527, -0.67871, -0.23095, -0.1886, -0.145838, -0.574435, -0.287559, 
0.009698, -0.166146, -0.347445, -0.78484, -0.814026, -0.474421, 0.218507, -0.361227, -0.031592, -0.245246, 
-0.229654, -0.294549, 0.079248, 0.019807, -0.304474, 0.034729, 0.794583, -0.64525, -0.752984, -0.359242, 
-0.343898, -0.643516, -0.646625, -0.57539, -0.564476, -0.753352, -0.659021, -0.918953, -0.714237, -0.775007, 
0.720582, -0.213817, -0.815458, -0.856182, -0.211599, -0.736873, -0.679375, -0.847093, -0.46789, -0.624936, 
-0.720654, -0.379473, -0.437631, -0.181973, -0.419219, -0.661564, -0.065158, -0.814243, -0.420401, -0.505198, 
0.070736, 0.14699, -0.261884, -0.445236, -0.046053, -0.187186, -0.035175, 0.105689, -0.072969, 0.411601, 
-0.68352, -0.899182, 0.657999, 0.295954, -0.071071, -0.736573, -0.067126, 0.838419, 0.998407, -0.733621, 
-0.638531, -0.547742, -0.765346, -0.623657, -0.656939, -0.297475, -0.501984, -0.723485, -0.706108, -0.264292, 
0.6406, 0.335963, 0.828702, 0.899319, -0.336139, -0.05611, -0.045172, 0.040461, 0.047684, 0.280322, 
